Wins,WardsPlaced,WardsDestroyed,FirstBlood,Kills,Deaths,Assists,EliteMonsters,Dragons,Heralds,TowersDestroyed,TotalGold,AvgLevel,TotalExperience,TotalMinionsKilled,TotalJungleMinionsKilled,GoldDiff,ExperienceDiff,CSPerMin,GoldPerMin
0,78,4,0,4,3,4,2,1,1,0,0.3990440212782361,6.8,0.7521853867722249,238,67,406,1283,23.8,1590.6
1,33,3,0,6,9,10,0,0,0,0,0.44599491172615846,6.8,0.5875804057397328,208,45,-1020,493,20.8,1651.5
0,17,1,0,4,8,4,0,0,0,0,0.3611903476987125,6.2,0.4905987135081643,204,44,-2472,-1067,20.4,1541.5
1,18,1,0,8,6,9,1,1,0,0,0.4971089353172461,7.0,0.6396173511462971,209,44,1260,-55,20.9,1717.8
0,19,3,1,7,4,9,0,0,0,0,0.5008094981111711,7.0,0.7326406069602506,228,61,1857,2015,22.8,1722.6
0,105,5,1,8,6,13,1,1,0,0,0.5199290725464497,6.8,0.6051459673428995,217,53,1320,-413,21.7,1747.4
0,18,5,0,3,8,2,1,1,0,0,0.3218718680132603,6.8,0.6495134421903347,233,52,-3282,-1647,23.3,1490.5
1,22,7,1,9,4,10,1,1,0,0,0.5706576208465038,7.0,0.6579251195777668,228,40,2883,2111,22.8,1813.2
1,17,4,1,5,2,6,2,1,1,0,0.4103769948346311,6.8,0.6026719445818901,218,51,1703,1696,21.8,1605.3
0,12,3,0,6,4,7,0,0,0,0,0.44005859224423716,6.8,0.5682830282038595,203,32,608,-85,20.3,1643.8
0,15,2,1,5,4,4,0,0,0,0,0.37807416544599504,6.8,0.5159986805211941,201,45,71,-359,20.1,1563.4
1,40,2,0,6,4,4,0,0,0,0,0.4128440366972478,7.4,0.7403925449447467,204,56,275,872,20.4,1608.5
0,24,3,0,3,4,6,0,0,0,0,0.32773109243697485,6.8,0.5759524987629886,235,52,-809,638,23.5,1498.1
0,12,4,0,2,8,2,1,1,0,0,0.3616529180479532,7.2,0.7568860300181427,217,84,-2771,-1125,21.7,1542.1
0,20,2,1,5,6,4,1,0,1,0,0.3804641122504048,6.8,0.6282368464456539,203,48,-1730,-1236,20.3,1566.5
0,11,3,0,7,9,5,1,0,1,0,0.5240922056896152,7.2,0.7843476826653472,234,68,-904,1377,23.4,1752.8
0,18,2,0,3,6,3,1,0,1,0,0.3316629404055199,6.6,0.5553356424212436,213,48,-1683,-1363,21.3,1503.2
0,28,3,0,4,11,3,0,0,0,0,0.3664328116567729,6.8,0.599043377865743,222,48,-3025,-1833,22.2,1548.3
1,36,1,0,10,6,12,0,0,0,0,0.6549996145247089,7.4,0.82632360217714,231,44,3004,2300,23.1,1922.6
1,18,3,0,9,6,14,1,1,0,0,0.4791457867550689,6.8,0.6356589147286821,204,36,1574,761,20.4,1694.5
1,12,2,1,5,5,3,0,0,0,0,0.32919589854290343,6.6,0.5273791852218374,233,16,-1036,-1423,23.3,1500.0
0,18,4,1,3,4,2,1,0,1,0,0.3976563102305143,7.4,0.7415470888998844,252,60,16,433,25.2,1588.8
0,41,0,0,1,10,0,0,0,0,0,0.16922365276385787,6.4,0.4453240969816922,187,32,-6386,-4210,18.7,1292.5
1,14,4,1,11,2,9,0,0,0,0,0.6568498959216714,7.6,0.7920996206498433,251,48,5096,3310,25.1,1925.0
1,19,1,1,8,4,5,1,1,0,1,0.5878498188266131,7.0,0.7168068612897905,218,54,2756,1683,21.8,1835.5
1,15,2,0,2,3,2,1,0,1,0,0.2504047490555855,6.6,0.5221012699983506,180,44,-977,-1025,18.0,1397.8
0,16,1,0,5,5,8,0,0,0,0,0.39480379307686386,6.8,0.599373247567211,206,56,-808,-1655,20.6,1585.1
0,14,0,0,7,9,5,0,0,0,0,0.44283401433968084,6.6,0.6028368794326241,209,50,-1559,-407,20.9,1647.4
1,18,0,0,6,8,6,0,0,0,0,0.45177704109166605,7.0,0.6750783440540985,213,49,544,75,21.3,1659.0
1,22,4,1,5,2,2,2,1,1,0,0.38601495644129213,7.0,0.7039419429325416,217,53,1381,1017,21.7,1573.7
1,37,2,1,5,3,5,0,0,0,0,0.4826150643743735,7.4,0.7864093682995216,248,54,2031,1449,24.8,1699.0
0,14,4,0,3,3,2,1,1,0,0,0.3520931308303138,7.0,0.7514431799439222,246,56,131,370,24.6,1529.7
0,16,2,0,4,10,4,1,0,1,0,0.3793847814355099,7.0,0.6265874979383143,224,53,-2699,-2749,22.4,1565.1
0,17,0,1,5,7,7,1,1,0,0,0.3744506977102767,6.8,0.5482434438396834,181,63,-1672,-2698,18.1,1558.7
1,19,3,1,10,6,11,1,1,0,0,0.5432888751831008,7.2,0.6624608279729506,213,42,1201,316,21.3,1777.7
1,29,3,1,7,5,5,2,1,1,0,0.439133451545756,7.0,0.685221837374237,222,55,-108,59,22.2,1642.6
0,12,0,0,10,7,11,0,0,0,1,0.73610361575823,7.2,0.7815437902028698,236,58,4633,2269,23.6,2027.8
0,18,4,0,2,7,0,0,0,0,0,0.23598797317091968,6.6,0.5227610094012866,191,62,-2262,-1391,19.1,1379.1
0,24,3,0,6,7,5,0,0,0,0,0.4452239611440906,7.0,0.6241959426026719,208,70,-49,500,20.8,1650.5
1,18,2,1,6,4,4,1,1,0,0,0.5047413460797162,7.2,0.7844301500907142,229,54,1687,1089,22.9,1727.7
1,122,3,1,9,1,10,2,1,1,0,0.5812196438208311,7.2,0.7884710539336962,229,68,3933,2922,22.9,1826.9
0,12,4,0,4,10,3,1,1,0,0,0.2648986199984581,6.6,0.4833415800758699,203,41,-4061,-4397,20.3,1416.6
0,52,2,0,6,12,7,0,0,0,0,0.3643512450851901,6.6,0.5098136236186707,188,42,-4920,-3280,18.8,1545.6
0,19,2,0,4,5,2,0,0,0,0,0.34307300902012183,7.0,0.6329374896915717,210,52,-1705,-1839,21.0,1518.0
0,32,4,1,7,8,8,1,1,0,0,0.42009097216868396,6.8,0.5538512287646379,212,46,105,-1547,21.2,1617.9
1,14,0,0,3,5,3,0,0,0,0,0.4082954282630483,7.0,0.6920666336796965,233,57,-554,521,23.3,1602.6
0,19,5,1,4,5,4,0,0,0,0,0.317631639811888,6.8,0.5811479465611084,198,53,-1037,-1577,19.8,1485.0
0,16,2,1,9,8,7,1,0,1,0,0.5101380001541901,7.0,0.6989114299851559,202,62,-1144,480,20.2,1734.7
1,36,0,1,5,4,6,0,0,0,0,0.39757921517230754,6.8,0.6179284182747814,200,32,1173,953,20.0,1588.7
0,18,2,1,8,2,11,0,0,0,0,0.5141469431809421,7.0,0.7711528946066303,232,44,3194,2534,23.2,1739.9
0,13,3,1,2,7,1,1,1,0,0,0.2388404903245701,6.6,0.5385947550717466,204,38,-2622,-1136,20.4,1382.8
1,15,3,1,6,4,4,1,1,0,0,0.4560172692930383,7.2,0.7431964374072241,242,52,1151,470,24.2,1664.5
1,50,4,1,6,4,8,2,1,1,0,0.4254105311849511,6.8,0.5856836549562922,200,52,1463,1490,20.0,1624.8
0,14,2,0,4,6,1,0,0,0,0,0.3530953665870017,7.0,0.6794491175985485,221,52,-1038,-1307,22.1,1531.0
1,17,2,1,8,4,7,1,0,1,0,0.4667334823837793,6.6,0.5891472868217055,212,40,1424,1060,21.2,1678.4
1,18,1,0,13,9,18,1,1,0,0,0.6400431732325959,7.4,0.7300841167738742,232,44,527,721,23.2,1903.2
0,17,5,0,7,6,12,0,0,0,0,0.5233212551075476,7.2,0.6798614547253835,242,46,1807,932,24.2,1751.8
0,43,6,1,11,4,12,1,0,1,0,0.6357258499730168,7.4,0.8434768266534719,256,43,2856,1262,25.6,1897.6
0,12,1,0,6,6,10,1,1,0,0,0.4173155500732403,6.6,0.5376051459673429,204,56,-964,-2454,20.4,1614.3
0,20,2,0,7,8,6,1,0,1,0,0.39611440906637896,7.0,0.578344054098631,199,51,-178,524,19.9,1586.8
1,18,3,0,9,8,7,1,1,0,0,0.5587078868244545,7.0,0.665017318159327,235,41,705,192,23.5,1797.7
1,16,0,0,10,10,14,1,1,0,0,0.5711201911957443,7.0,0.664769915883226,208,55,908,306,20.8,1813.8
1,14,2,0,7,2,12,2,1,1,0,0.5624084496183795,7.2,0.8053768761339269,261,68,3558,3243,26.1,1802.5
0,12,6,0,1,6,0,0,0,0,0,0.300285251715365,6.8,0.632607619990104,241,56,-1299,-49,24.1,1462.5
1,16,4,0,5,8,7,1,1,0,0,0.38717138231439374,6.6,0.578508988949365,201,48,-1763,-1864,20.1,1575.2
1,15,0,0,10,4,12,0,0,0,0,0.5974867011024593,7.4,0.7807191159492001,232,64,2547,2189,23.2,1848.0
0,13,3,0,3,10,2,1,1,0,0,0.3288104232518695,6.6,0.503711034141514,210,53,-3685,-3119,21.0,1499.5
0,83,13,1,7,11,3,0,0,0,0,0.3796931616683371,6.4,0.47245587992742866,194,25,-3689,-4682,19.4,1565.5
0,17,4,1,3,5,2,0,0,0,0,0.37252332125510745,7.2,0.7003133762163946,236,73,-764,803,23.6,1556.2
1,16,3,1,9,2,5,0,0,0,0,0.4941022280471822,7.2,0.7454230578921325,223,51,3037,2694,22.3,1713.9
1,14,4,1,7,7,6,0,0,0,1,0.6552308996993293,7.2,0.7192808840507999,257,62,3545,2162,25.7,1922.9
0,14,2,0,7,7,10,1,1,0,0,0.4812273533266517,7.2,0.739073066138875,209,48,-1031,-394,20.9,1697.2
0,17,1,0,5,10,6,0,0,0,0,0.42548762624315783,7.0,0.6832426191654296,213,59,-1796,-749,21.3,1624.9
1,16,6,1,5,4,9,0,0,0,0,0.4382854059054814,6.8,0.6223816592445984,247,37,1626,747,24.7,1641.5
1,40,1,0,6,8,10,1,0,1,0,0.5614062138616914,7.2,0.8031502556490185,250,70,832,1330,25.0,1801.2
1,16,0,0,11,6,11,2,1,1,0,0.6602420784827693,7.4,0.8716806861289791,242,52,2750,2647,24.2,1929.4
0,16,1,0,5,8,4,1,0,1,0,0.358723305836096,6.8,0.5892297542470725,227,28,-1524,-827,22.7,1538.3
0,16,4,1,6,8,2,1,1,0,0,0.3890987587695628,6.6,0.6022596074550551,224,53,-1370,-875,22.4,1577.7
0,14,3,0,4,6,4,0,0,0,0,0.3141623621925834,6.6,0.5958271482764307,209,43,-1506,-412,20.9,1480.5
0,13,5,0,6,7,2,0,0,0,0,0.348007092745355,6.6,0.5516246082797295,199,52,-1101,-718,19.9,1524.4
0,18,4,0,8,3,7,1,0,1,0,0.5276385783671266,7.2,0.7502061685634175,252,44,2774,2207,25.2,1757.4
0,24,0,0,8,11,9,0,0,0,0,0.456788219875106,7.0,0.6377206003628567,222,44,-1806,-588,22.2,1665.5
0,12,5,0,6,4,8,1,1,0,0,0.4722072315164597,7.0,0.6821705426356589,248,44,1265,1248,24.8,1685.5
1,17,3,0,6,14,4,0,0,0,0,0.3897926142934237,6.6,0.5687778327560614,200,46,-4443,-4140,20.0,1578.6
0,19,3,0,3,5,1,0,0,0,0,0.3402204918664714,7.2,0.7407224146462147,233,59,-927,967,23.3,1514.3
1,12,3,1,9,5,9,0,0,0,0,0.5072083879423329,7.0,0.7262081477816261,221,36,1425,728,22.1,1730.9
1,14,3,0,6,4,6,1,1,0,0,0.43836250096368834,7.4,0.7905327395678706,211,60,1177,1161,21.1,1641.6
1,19,2,1,2,7,2,1,1,0,0,0.3463110014648062,7.0,0.636153719280884,231,64,-1586,410,23.1,1522.2
0,16,2,0,5,10,3,2,1,1,0,0.3697478991596638,6.8,0.6210621804387267,232,44,-2896,-2081,23.2,1552.6
1,18,1,0,12,9,10,0,0,0,0,0.5294117647058824,6.4,0.4816097641431635,143,48,905,1054,14.3,1759.7
0,17,1,1,9,17,17,0,0,0,0,0.47058823529411764,6.2,0.3889988454560448,187,29,-3887,-3392,18.7,1683.4
1,32,2,1,12,6,12,1,1,0,0,0.6420476447459719,7.2,0.7815437902028698,202,47,3413,2984,20.2,1905.8
0,16,2,1,7,9,5,2,1,1,0,0.46842957366432814,7.0,0.6544614877123537,228,48,-256,-1580,22.8,1680.6
1,19,5,1,7,10,7,0,0,0,0,0.45586307917662483,6.8,0.6148771235362033,227,44,-1820,-1412,22.7,1664.3
1,14,1,1,6,4,12,1,1,0,0,0.4208619227507516,6.8,0.6299686623783606,224,39,625,-534,22.4,1618.9
0,12,2,0,2,6,1,0,0,0,0,0.2594248708657775,6.8,0.5927758535378526,196,60,-3628,-2009,19.6,1409.5
0,30,6,1,5,5,7,1,0,1,0,0.46827538354791465,6.8,0.6140524492825333,217,67,769,480,21.7,1680.4
0,18,5,0,8,8,8,1,1,0,0,0.5069000077095059,7.0,0.6674913409203364,229,43,-576,-682,22.9,1730.5
0,14,16,0,3,9,2,0,0,0,0,0.293655076709583,6.4,0.5531914893617021,213,40,-3900,-3550,21.3,1453.9
1,14,2,0,9,8,10,1,1,0,0,0.5242463958060289,7.0,0.6763153554346032,192,43,-7,-231,19.2,1753.0
1,13,6,1,10,7,10,0,0,0,0,0.5937090432503277,7.2,0.7804717136730991,207,44,1683,1433,20.7,1843.1
0,16,4,0,3,10,2,0,0,0,0,0.25456788219875104,6.8,0.5320798284677551,193,40,-4782,-3408,19.3,1403.2
1,38,3,1,9,7,11,1,1,0,0,0.5503816205381235,7.0,0.6359887844301501,205,40,636,-214,20.5,1786.9
1,40,1,0,7,14,6,1,1,0,0,0.4042864852362963,6.2,0.5010720765297708,183,37,-3421,-2624,18.3,1597.4
1,18,5,0,5,3,6,1,1,0,0,0.41461722303600335,7.2,0.7275276265874978,240,61,976,1599,24.0,1610.8
0,40,3,0,6,7,6,0,0,0,0,0.4295736643281166,6.8,0.5936829952168893,212,52,-211,-1305,21.2,1630.2
1,18,5,0,7,5,6,0,0,0,0,0.4641122504047491,6.8,0.6189180273791851,215,52,1221,462,21.5,1675.0
1,17,5,0,7,1,8,0,0,0,0,0.44530105620229754,7.2,0.706828302820386,226,36,2037,1291,22.6,1650.6
1,15,5,1,6,3,11,1,1,0,0,0.4362809343921056,7.0,0.6464621474517566,241,36,817,-94,24.1,1638.9
1,18,2,1,4,4,4,0,0,0,0,0.3877881427800479,7.0,0.6759854857331354,215,48,-137,-351,21.5,1576.0
1,43,6,1,4,7,4,1,1,0,0,0.34276462878729486,6.4,0.5543460333168398,226,33,-1539,-1497,22.6,1517.6
0,13,5,0,5,7,4,0,0,0,0,0.3443065299514302,6.4,0.561603166749134,191,48,-1707,-1286,19.1,1519.6
1,13,1,0,6,9,2,1,1,0,0,0.4255647213013646,7.0,0.6134751773049646,228,55,-556,-235,22.8,1625.0
1,20,1,1,9,7,15,1,1,0,0,0.44799938323953425,6.6,0.5509648688767937,199,37,-146,-717,19.9,1654.1
1,15,1,1,12,4,9,1,0,1,0,0.6111325264050574,7.2,0.7510308428170872,227,37,4083,2884,22.7,1865.7
1,17,1,0,5,5,6,0,0,0,0,0.47359494256418155,7.2,0.7427841002803891,223,64,1389,1418,22.3,1687.3
0,28,4,0,3,4,3,1,1,0,0,0.2816282476293269,6.4,0.47831106712848415,211,55,-890,-528,21.1,1438.3
0,12,3,1,4,9,5,0,0,0,0,0.28448076478297735,6.4,0.4204189345208643,192,32,-2519,-1095,19.2,1442.0
0,87,1,0,4,15,4,0,0,0,0,0.30760928224500816,6.2,0.40681180933531247,183,30,-4440,-4020,18.3,1472.0
1,15,3,1,7,6,7,0,0,0,0,0.5146866085883895,7.2,0.7968827313211281,251,64,1140,705,25.1,1740.6
0,15,4,1,5,7,2,0,0,0,0,0.3453858607663248,6.4,0.4845785914563746,172,40,-1656,-1832,17.2,1521.0
1,23,3,0,10,5,16,0,0,0,0,0.5043558707886825,6.4,0.47352795645719936,192,40,2171,-261,19.2,1727.2
1,18,1,1,12,4,15,0,0,0,0,0.6651761622080025,7.2,0.7553191489361702,206,60,3841,2484,20.6,1935.8
1,16,3,0,4,11,5,1,0,1,1,0.4722072315164597,6.6,0.5164110176480291,232,40,-885,-2172,23.2,1685.5
0,16,2,0,3,8,4,2,1,1,0,0.3453087657081181,6.6,0.507834405409863,191,60,-2752,-2286,19.1,1520.9
1,17,3,1,13,9,22,0,0,0,0,0.6793616529180481,7.0,0.6462972126010226,207,31,2081,466,20.7,1954.2
0,15,5,1,4,3,4,0,0,0,0,0.3497802790841108,6.6,0.5956622134256969,232,53,453,-19,23.2,1526.7
0,15,2,1,3,1,3,1,1,0,0,0.3479299976871483,6.6,0.5851888504040904,224,56,830,-1002,22.4,1524.3
0,21,2,0,8,8,3,0,0,0,0,0.4227892992059209,6.8,0.5884875474187695,203,48,94,-445,20.3,1621.4
0,70,2,0,8,6,12,2,1,1,0,0.40444067535271,7.0,0.6703777008081807,178,56,-722,891,17.8,1597.6
0,18,1,0,6,7,10,1,0,1,0,0.4492329041708426,6.8,0.6213095827148275,230,47,-1491,-799,23.0,1655.7
0,10,1,0,6,14,3,0,0,0,0,0.41723845501503354,6.8,0.5653142008906481,198,59,-3109,-1745,19.8,1614.2
0,15,4,1,7,11,9,0,0,0,0,0.5592475522319019,7.2,0.7100445324096981,230,56,537,-477,23.0,1798.4
1,15,9,0,13,5,10,2,1,1,0,0.7176008017886054,7.8,0.9475507174666006,222,71,4079,5568,22.2,2003.8
1,91,3,0,10,5,13,0,0,0,1,0.6815974096060443,7.2,0.689840013194788,213,50,4006,2081,21.3,1957.1
0,18,2,1,3,10,4,0,0,0,0,0.29504278775730486,6.4,0.4148111495959096,200,48,-3582,-5395,20.0,1455.7
1,16,4,0,6,6,5,0,0,0,0,0.40852671343766855,7.0,0.6984166254329539,205,56,-355,233,20.5,1602.9
1,18,11,1,7,6,8,0,0,0,1,0.564567111248169,6.6,0.5478311067128484,207,46,3464,994,20.7,1805.3
1,16,2,1,9,5,9,1,1,0,0,0.5680363888674737,7.0,0.7262906152069931,225,60,2217,2183,22.5,1809.8
1,13,1,1,8,3,9,2,1,1,0,0.586924678128132,7.2,0.776925614382319,235,59,3049,1511,23.5,1834.3
1,13,2,0,5,6,4,1,1,0,0,0.37514455323413765,7.0,0.6514926603991423,198,44,-305,-474,19.8,1559.6
0,54,3,0,4,2,6,1,1,0,0,0.3917970858067997,7.0,0.6419264390565725,229,53,1325,479,22.9,1581.2
1,17,2,1,6,6,10,0,0,0,0,0.40220491866471353,6.4,0.5260597064159657,221,44,-53,87,22.1,1594.7
0,35,1,0,5,9,5,0,0,0,0,0.3289646133682832,6.6,0.5305954148111495,196,40,-2865,-1441,19.6,1499.7
0,10,1,1,7,7,5,0,0,0,0,0.44198596869940643,6.8,0.6166914068942767,215,42,-93,-561,21.5,1646.3
0,19,5,1,6,7,7,0,0,0,0,0.41184180094055967,6.6,0.5736434108527132,225,46,-420,-1185,22.5,1607.2
1,22,6,1,7,3,6,1,1,0,0,0.6483694395189269,7.4,0.7818736599043378,253,64,5008,2355,25.3,1914.0
0,19,2,1,4,6,1,0,0,0,0,0.29427183717523697,6.4,0.47707405574797945,188,53,-2074,-1795,18.8,1454.7
1,14,5,0,5,4,7,1,0,1,0,0.3788451160280627,6.8,0.6283193138710209,188,63,-3,1013,18.8,1564.4
0,15,2,1,5,5,5,0,0,0,0,0.3857836712666719,7.0,0.6443179943922149,213,47,-837,-660,21.3,1573.4
1,38,2,1,5,5,6,1,1,0,0,0.467504432965847,6.8,0.5955797460003299,229,39,510,-747,22.9,1679.4
0,16,3,0,6,11,8,1,1,0,0,0.40089430267519843,6.8,0.5903842982022102,200,43,-3549,-2407,20.0,1593.0
1,17,4,0,6,6,6,0,0,0,0,0.478451931231208,7.2,0.7049315520369454,240,56,272,359,24.0,1693.6
1,18,2,1,9,5,9,0,0,0,0,0.5559324647290108,7.2,0.7653801748309418,230,51,2187,2189,23.0,1794.1
0,19,6,0,2,8,4,0,0,0,0,0.22881813275769025,6.2,0.45959096157017976,222,33,-4907,-2556,22.2,1369.8
1,14,3,1,5,4,3,1,1,0,0,0.40189653843188655,7.4,0.755731486063005,238,64,63,648,23.8,1594.3
1,17,0,0,4,8,6,1,0,1,0,0.3978875954051345,7.0,0.6767276925614382,222,68,-2132,-484,22.2,1589.1
0,12,4,0,5,6,5,1,0,1,0,0.4229434893223344,7.0,0.7342899554675902,211,71,-976,-964,21.1,1621.6
0,86,4,1,3,5,3,0,0,0,0,0.31023051422403836,6.6,0.5822200230908791,186,62,-1342,-1966,18.6,1475.4
1,16,1,1,8,2,5,1,1,0,0,0.47637036465962523,7.2,0.6778822365165759,229,40,2304,2532,22.9,1690.9
1,15,6,0,10,2,11,0,0,0,0,0.6266286331046179,7.2,0.7911100115454396,218,70,4219,3379,21.8,1885.8
0,22,7,1,6,7,7,0,0,0,0,0.40259039395574747,6.8,0.578426521523998,180,45,-2049,-2340,18.0,1595.2
0,16,4,0,1,5,2,0,0,0,0,0.19705496877650142,6.2,0.4112650503051295,187,48,-4179,-3823,18.7,1328.6
0,17,7,0,6,6,9,0,0,0,0,0.4688921440135688,7.2,0.690087415470889,269,40,-66,-1073,26.9,1681.2
1,16,3,0,9,7,13,2,1,1,0,0.5532341376917739,6.8,0.6517400626752433,178,60,510,142,17.8,1790.6
0,15,3,1,4,3,2,1,0,1,0,0.43774574049803416,7.2,0.7490516246082798,263,53,2591,1567,26.3,1640.8
0,14,1,1,4,12,5,0,0,0,0,0.33351322180248244,6.4,0.5171532244763318,198,46,-3772,-3034,19.8,1505.6
0,25,1,1,6,6,11,1,1,0,0,0.5474520083262663,6.8,0.6738413326735938,240,43,965,-878,24.0,1783.1
0,11,1,0,1,5,1,0,0,0,0,0.2319019350859609,6.6,0.5426356589147286,223,34,-3468,-2158,22.3,1373.8
1,25,5,1,14,3,15,0,0,0,0,0.7391103230282939,7.4,0.8438066963549397,212,54,6153,3916,21.2,2031.7
0,15,0,0,0,5,0,0,0,0,0,0.2591164906329505,6.4,0.5018967507834405,233,60,-2216,-2730,23.3,1409.1
0,17,4,0,6,11,4,1,1,0,0,0.409066378845116,6.6,0.56226290615207,191,39,-2308,-1767,19.1,1603.6
1,17,4,1,6,6,5,1,0,1,0,0.4873949579831932,6.6,0.6015174006267524,210,54,1917,-179,21.0,1705.2
0,14,4,0,4,7,6,0,0,0,0,0.43358260735486864,7.0,0.7158172521853868,268,52,-1676,-1759,26.8,1635.4
1,18,1,1,10,5,8,1,1,0,0,0.5833783054506206,7.2,0.7733795150915389,242,48,2709,1259,24.2,1829.7
0,17,5,0,6,8,5,0,0,0,0,0.38686300208156654,6.6,0.5299356754082137,222,36,-1304,-552,22.2,1574.8
1,42,4,1,8,5,10,1,1,0,0,0.5516922365276385,7.4,0.8247567210951673,229,59,1824,1409,22.9,1788.6
0,17,7,0,11,8,15,0,0,0,0,0.4887055739727083,6.6,0.5446973445489031,174,38,229,-45,17.4,1706.9
1,15,2,0,4,4,4,1,0,1,0,0.45493793847814346,7.2,0.7596899224806201,252,57,1507,1667,25.2,1663.1
0,12,3,0,1,5,3,1,1,0,0,0.3111556549225195,7.0,0.6816757380834569,231,65,-1787,-1135,23.1,1476.6
0,14,2,0,8,7,3,0,0,0,0,0.49209775653380616,7.2,0.7667821210621805,234,49,815,1397,23.4,1711.3
0,13,2,0,5,14,6,1,1,0,0,0.3384473055277156,6.6,0.545522018802573,167,48,-4767,-5061,16.7,1512.0
0,13,3,0,4,6,6,0,0,0,0,0.35533112327499816,6.6,0.5116279069767441,221,43,-1861,-2532,22.1,1533.9
0,68,0,0,1,14,1,1,1,0,0,0.2087734176239303,5.8,0.3353125515421408,174,53,-7655,-4485,17.4,1343.8
1,20,1,0,4,9,3,0,0,0,0,0.374065222419243,6.8,0.5923635164110176,212,56,-2058,-2051,21.2,1558.2
1,16,3,0,5,5,7,1,1,0,0,0.3631948192120885,6.6,0.6145472538347353,201,52,-575,-208,20.1,1544.1
0,12,2,1,4,2,2,1,0,1,0,0.4064451468660858,7.2,0.690169882896256,245,61,1765,701,24.5,1600.2
0,13,5,1,5,5,8,1,0,1,0,0.4069848122735332,6.8,0.6543790202869867,220,40,540,269,22.0,1600.9
1,16,3,0,12,9,15,0,0,0,0,0.5686531493331278,6.6,0.5418109846610589,186,48,862,-442,18.6,1810.6
1,35,3,1,6,2,9,1,1,0,0,0.4449155809112636,6.6,0.6869536533069437,221,44,2761,1659,22.1,1650.1
0,14,2,0,3,8,3,0,0,0,0,0.3681289029373217,6.8,0.6286491835724889,227,61,-1249,-853,22.7,1550.5
1,35,2,0,5,5,3,0,0,0,0,0.4213244930999923,7.0,0.7460827972950684,244,60,-75,655,24.4,1619.5
1,18,3,1,14,5,12,1,1,0,0,0.7373371366895382,6.8,0.6895101434933201,230,48,5805,4777,23.0,2029.4
0,22,4,0,5,7,3,1,0,1,0,0.3658160511911187,7.0,0.6636153719280883,198,59,-810,-305,19.8,1547.5
