WardsPlaced,WardsDestroyed,Kills,Deaths,Assists,EliteMonsters,Dragons,Heralds,TowersDestroyed,TotalGold,AvgLevel,TotalExperience,TotalMinionsKilled,TotalJungleMinionsKilled,GoldDiff,ExperienceDiff,CSPerMin,GoldPerMin,FirstBlood_0,FirstBlood_1,Wins
14,3,1,9,1,0,0,0,0,0.27118055555555554,6.4,0.5313453066757031,233,40,-3933,-2922,23.3,1433.6,1,0,0
16,2,10,4,6,0,0,0,0,0.6089409722222223,7.4,0.8379362927821078,224,72,4061,4397,22.4,1822.7,0,1,1
15,1,12,6,11,1,0,1,1,0.7954861111111111,7.4,0.7705015249068113,240,62,4920,3280,24.0,2037.6,0,1,1
11,4,5,4,1,0,0,0,0,0.49244791666666665,7.2,0.7749068112504237,227,62,1705,1839,22.7,1688.5,0,1,1
24,5,8,7,5,1,0,1,0,0.422048611111111,7.0,0.6689257878685192,200,42,-105,1547,20.0,1607.4,1,0,1
11,1,5,3,6,1,1,0,0,0.46597222222222223,6.8,0.6357167062012877,234,44,554,-521,23.4,1658.0,0,1,0
18,4,5,4,5,1,1,0,0,0.4058159722222223,7.0,0.6995086411385972,241,44,1037,1577,24.1,1588.7,1,0,1
13,5,8,9,11,1,1,0,1,0.631857638888889,7.0,0.6462216197899017,199,45,1144,-480,19.9,1849.1,1,0,1
12,1,4,5,3,1,1,0,0,0.30399305555555567,6.6,0.522958319213826,186,63,-1173,-953,18.6,1471.4,1,0,0
13,3,2,8,2,1,1,0,0,0.2598090277777778,6.6,0.5464249406980685,208,51,-3194,-2534,20.8,1420.5,1,0,1
12,0,7,2,7,0,0,0,0,0.4546874999999999,6.8,0.6184344290071163,192,36,2622,1136,19.2,1645.0,1,0,1
15,2,4,6,3,1,0,1,0,0.37170138888888893,7.0,0.6925618434429007,205,50,-1151,-470,20.5,1549.4,1,0,0
48,2,4,6,8,0,0,0,0,0.3101562499999999,6.6,0.44434090138935967,169,52,-1463,-1490,16.9,1478.5,1,0,0
15,2,6,4,5,2,1,1,0,0.4458333333333333,7.2,0.7776177566926467,226,66,1038,1307,22.6,1634.8,0,1,1
13,4,4,8,5,0,0,0,0,0.36006944444444455,6.4,0.4843273466621484,180,61,-1424,-1060,18.0,1536.0,1,0,0
12,4,9,13,5,0,0,0,0,0.6330729166666667,7.0,0.6578278549644189,216,63,-527,-721,21.6,1850.5,0,1,0
52,4,6,7,9,2,1,1,0,0.3905381944444444,6.8,0.5883598780074552,198,60,-1807,-932,19.8,1571.1,0,1,1
16,0,4,11,6,1,1,0,0,0.42604166666666665,7.2,0.7284818705523551,210,72,-2856,-1262,21.0,1612.0,1,0,1
13,1,6,6,3,1,0,1,0,0.51171875,7.0,0.7290748898678415,241,56,964,2454,24.1,1710.7,0,1,1
42,7,8,7,6,1,1,0,0,0.41961805555555554,6.8,0.5186377499152829,178,47,178,-524,17.8,1604.6,0,1,1
16,0,8,9,8,0,0,0,0,0.5260416666666667,7.0,0.6358014232463572,207,44,-705,-192,20.7,1727.2,0,1,0
15,1,10,10,16,0,0,0,0,0.5223958333333334,7.0,0.6258895289732295,210,44,-908,-306,21.0,1723.0,0,1,0
25,0,2,7,3,0,0,0,0,0.28255208333333326,6.8,0.5215181294476449,220,56,-3558,-3243,22.0,1446.7,0,1,0
53,1,6,1,3,1,1,0,0,0.40902777777777777,7.0,0.622924432395798,218,47,1299,49,21.8,1592.4,0,1,1
19,2,8,5,6,0,0,0,0,0.5471354166666667,7.2,0.7211114876313115,248,40,1763,1864,24.8,1751.5,0,1,0
12,1,4,10,4,0,0,0,0,0.4098090277777777,6.6,0.5854794984750932,247,41,-2547,-2189,24.7,1593.3,0,1,0
20,3,10,3,13,1,0,1,0,0.648263888888889,7.4,0.7505930193154863,200,67,3685,3119,20.0,1868.0,0,1,1
35,2,11,7,7,1,1,0,0,0.7059027777777778,7.2,0.8508980006777364,216,59,3689,4682,21.6,1934.4,1,0,1
33,4,5,3,6,2,1,1,0,0.4439236111111111,6.8,0.6202982039986445,233,46,764,-803,23.3,1632.6,1,0,1
14,2,2,9,2,1,1,0,0,0.2508680555555556,6.6,0.5064384954252795,213,41,-3037,-2694,21.3,1410.2,1,0,0
19,3,7,7,10,1,1,0,0,0.3881944444444445,6.6,0.5246526601152152,145,36,-3545,-2162,14.5,1568.4,1,0,0
16,4,7,7,7,0,0,0,0,0.5894965277777777,7.4,0.7615215181294478,255,60,1031,394,25.5,1800.3,0,1,1
16,2,10,5,15,1,1,0,0,0.5931423611111111,7.0,0.7342426296170791,214,44,1796,749,21.4,1804.5,0,1,1
17,2,4,5,5,1,1,0,0,0.3105034722222222,7.0,0.5449847509318876,203,51,-1626,-747,20.3,1478.9,1,0,0
12,1,8,6,11,1,1,0,0,0.5180555555555555,7.0,0.6812944764486616,186,48,-832,-1330,18.6,1718.0,0,1,0
14,2,6,11,9,0,0,0,0,0.4628472222222222,7.0,0.6401219925449001,203,52,-2750,-2647,20.3,1654.4,0,1,0
11,3,8,5,11,0,0,0,0,0.49435763888888884,7.0,0.6442731277533039,186,39,1524,827,18.6,1690.7,0,1,1
20,2,8,6,9,0,0,0,0,0.5151909722222223,7.0,0.6617248390376144,210,36,1370,875,21.0,1714.7,1,0,1
17,3,6,4,7,1,1,0,0,0.44262152777777786,7.0,0.6158929176550322,231,44,1506,412,23.1,1631.1,0,1,1
17,4,7,6,5,2,1,1,0,0.44557291666666665,7.0,0.5964079972890547,212,40,1101,718,21.2,1634.5,0,1,1
15,4,3,8,2,1,1,0,0,0.3114583333333334,6.6,0.5526092849881395,225,47,-2774,-2207,22.5,1480.0,0,1,1
13,3,11,8,13,2,1,1,0,0.6292534722222223,7.0,0.6738393764825484,215,55,1806,588,21.5,1846.1,0,1,1
16,5,4,6,4,1,0,1,0,0.38003472222222223,6.8,0.5639613690274484,207,52,-1265,-1248,20.7,1559.0,0,1,1
16,3,14,6,9,1,1,0,0,0.7827256944444445,7.6,0.9039308708912234,227,66,4443,4140,22.7,2022.9,0,1,0
16,4,5,3,7,1,1,0,0,0.421701388888889,7.0,0.6479159606912911,216,48,927,-967,21.6,1607.0,0,1,1
14,2,5,9,3,2,1,1,0,0.40555555555555567,6.8,0.6532531345306677,208,44,-1425,-728,20.8,1588.4,1,0,0
14,0,4,6,2,0,0,0,0,0.3495659722222222,7.0,0.682649949169773,204,71,-1177,-1161,20.4,1523.9,0,1,0
17,5,7,2,14,1,0,1,0,0.4857638888888889,6.8,0.5876821416468995,211,64,1586,-410,21.1,1680.8,1,0,0
15,2,10,5,6,0,0,0,0,0.6258680555555556,7.4,0.7832090816672316,236,76,2896,2081,23.6,1842.2,0,1,1
12,3,9,12,9,0,0,0,0,0.4756944444444444,6.2,0.3743646221619791,181,40,-905,-1054,18.1,1669.2,0,1,0
31,1,17,9,21,0,0,0,0,0.8254340277777779,7.0,0.6558793629278211,211,40,3887,3392,21.1,2072.1,1,0,1
16,2,6,12,7,0,0,0,0,0.3848090277777778,6.6,0.518976618095561,210,39,-3413,-2984,21.0,1564.5,1,0,0
34,2,9,7,7,0,0,0,0,0.5078125,7.4,0.7750762453405625,230,52,256,1580,23.0,1706.2,1,0,1
17,7,10,7,11,0,0,0,0,0.6294270833333333,7.2,0.7201796001355473,231,45,1820,1412,23.1,1846.3,1,0,0
102,1,4,6,4,0,0,0,0,0.37777777777777777,7.0,0.661301253812267,217,48,-625,534,21.7,1556.4,1,0,0
14,2,6,2,4,1,1,0,0,0.5651909722222221,7.0,0.7480515079634024,266,60,3628,2009,26.6,1772.3,0,1,1
16,4,5,5,6,1,1,0,0,0.41866319444444455,6.4,0.5590477804134192,233,54,-769,-480,23.3,1603.5,1,0,1
18,3,8,8,6,1,0,1,0,0.57890625,7.0,0.7123856319891563,198,66,576,682,19.8,1788.1,0,1,1
42,2,9,3,8,1,1,0,0,0.6273437500000001,7.6,0.8379362927821078,255,51,3900,3550,25.5,1843.9,0,1,1
19,2,8,9,8,1,0,1,0,0.5490451388888888,7.2,0.6832429684852593,209,60,7,231,20.9,1753.7,0,1,0
14,3,7,10,5,1,1,0,0,0.4805555555555556,7.0,0.6492714334124027,231,56,-1683,-1433,23.1,1674.8,1,0,0
17,8,10,3,11,1,1,0,0,0.6598958333333333,7.4,0.8042189088444595,245,51,4782,3408,24.5,1881.4,0,1,1
14,1,7,9,9,0,0,0,0,0.52265625,6.8,0.6403761436801084,215,48,-636,214,21.5,1723.3,1,0,0
13,4,14,7,12,0,0,0,0,0.7103298611111111,7.2,0.7059471365638766,219,49,3421,2624,21.9,1939.5,0,1,0
39,3,3,5,5,0,0,0,0,0.3402777777777777,6.8,0.5808200609962725,230,42,-976,-1599,23.0,1513.2,0,1,0
17,4,7,6,7,1,0,1,0,0.46015625000000004,7.2,0.6893425957302609,211,46,211,1305,21.1,1651.3,0,1,1
35,3,5,7,5,0,0,0,0,0.37473958333333335,6.8,0.5655709928837683,197,48,-1221,-462,19.7,1552.9,0,1,0
35,3,1,7,0,1,1,0,0,0.2827256944444445,6.6,0.5856489325652322,217,80,-2037,-1291,21.7,1446.9,0,1,0
38,2,3,6,3,0,0,0,0,0.3784722222222223,6.8,0.6409691629955948,229,58,-817,94,22.9,1557.2,1,0,0
15,1,4,4,1,1,1,0,0,0.4066840277777779,7.0,0.6930701457133176,227,72,137,351,22.7,1589.7,1,0,0
23,9,7,4,12,0,0,0,0,0.47769097222222223,7.2,0.6651982378854625,205,52,1539,1497,20.5,1671.5,1,0,0
62,3,7,5,10,1,1,0,0,0.4940104166666668,7.0,0.6547780413419181,216,51,1707,1286,21.6,1690.3,0,1,1
17,1,9,6,13,0,0,0,0,0.48559027777777786,6.8,0.6190274483226025,143,60,556,235,14.3,1680.6,0,1,0
12,3,7,9,8,1,0,1,0,0.47526041666666674,6.8,0.5956455438834295,225,44,146,717,22.5,1668.7,1,0,0
15,2,4,12,1,1,1,0,0,0.29184027777777777,6.6,0.4961030159268046,191,52,-4083,-2884,19.1,1457.4,1,0,0
38,2,5,5,7,1,1,0,0,0.37083333333333335,6.8,0.6118264994916979,226,49,-1389,-1418,22.6,1548.4,0,1,0
16,2,4,3,5,1,0,1,0,0.3525173611111112,6.4,0.5049983056590986,208,44,890,528,20.8,1527.3,0,1,1
18,3,9,4,15,0,0,0,0,0.4971354166666666,6.4,0.4935615045747205,194,46,2519,1095,19.4,1693.9,1,0,1
10,1,15,4,14,0,0,0,0,0.6899305555555555,7.4,0.7273805489664521,201,51,4440,4020,20.1,1916.0,0,1,1
17,1,6,7,4,2,1,1,0,0.43871527777777786,7.2,0.7278041341917995,190,56,-1140,-705,19.0,1626.6,1,0,0
13,5,7,5,3,0,0,0,0,0.4907986111111111,6.8,0.6219078278549645,219,51,1656,1832,21.9,1686.6,1,0,1
37,2,5,10,6,2,1,1,0,0.33758680555555554,6.6,0.4774652660115216,199,40,-2171,261,19.9,1510.1,0,1,0
14,2,4,12,3,0,0,0,0,0.37369791666666674,6.8,0.5343951202982041,216,56,-3841,-2484,21.6,1551.7,1,0,0
37,1,11,4,15,1,1,0,0,0.5666666666666667,7.2,0.6834124025753981,216,36,885,2172,21.6,1774.0,0,1,0
17,4,8,3,9,0,0,0,0,0.5858506944444444,7.2,0.6842595730260929,241,52,2752,2286,24.1,1796.1,0,1,1
17,4,9,13,11,0,0,0,0,0.5424479166666667,7.0,0.5933581836665537,200,44,-2081,-466,20.0,1746.1,1,0,0
16,2,3,4,3,0,0,0,0,0.312673611111111,6.8,0.5824296848525924,209,51,-453,19,20.9,1481.4,1,0,1
40,4,1,3,1,1,0,1,0,0.2778645833333333,6.8,0.6549474754320569,220,56,-830,1002,22.0,1441.3,1,0,1
17,4,8,8,6,0,0,0,0,0.42604166666666665,7.0,0.611148763131142,168,48,-94,445,16.8,1612.0,0,1,1
13,1,6,8,6,0,0,0,0,0.4762152777777777,6.6,0.5820908166723145,232,39,722,-891,23.2,1669.8,0,1,1
38,5,7,6,11,1,1,0,0,0.5934027777777777,7.0,0.674855981023382,222,53,1491,799,22.2,1804.8,0,1,1
13,1,14,6,16,2,1,1,0,0.6978298611111111,7.0,0.69747543205693,201,37,3109,1745,20.1,1925.1,0,1,1
16,4,11,7,11,1,1,0,0,0.5412326388888888,7.2,0.7387326330057608,178,51,-537,477,17.8,1744.7,1,0,1
39,1,5,13,6,0,0,0,0,0.4120659722222222,6.6,0.4706031853608946,208,40,-4079,-5568,20.8,1595.9,0,1,0
17,1,5,10,6,0,0,0,0,0.3778645833333334,6.6,0.501270755676042,210,47,-4006,-2081,21.0,1556.5,0,1,0
16,0,10,3,10,2,1,1,0,0.6013020833333333,7.6,0.8520840393087089,246,63,3582,5395,24.6,1813.9,1,0,1
19,3,6,6,5,1,1,0,0,0.44895833333333335,7.0,0.6666384276516436,224,48,355,-233,22.4,1638.4,0,1,0
41,1,6,7,6,0,0,0,0,0.293142361111111,6.4,0.44747543205692997,178,22,-3464,-994,17.8,1458.9,1,0,0
12,1,5,9,3,1,0,1,0,0.4052951388888888,6.6,0.5300745509996613,229,32,-2217,-2183,22.9,1588.1,1,0,0
13,3,3,8,2,0,0,0,0,0.35434027777777777,7.0,0.6390206709589971,234,54,-3049,-1511,23.4,1529.4,1,0,0
25,2,6,5,7,0,0,0,0,0.40703124999999996,7.0,0.6783293798712301,199,40,305,474,19.9,1590.1,0,1,0
15,3,2,4,1,1,0,1,0,0.2842881944444444,7.0,0.5877668586919688,218,54,-1325,-479,21.8,1448.7,0,1,1
14,4,6,6,9,1,1,0,0,0.4156249999999999,6.4,0.5019484920365979,203,52,53,-87,20.3,1600.0,1,0,0
16,4,9,5,7,1,1,0,0,0.5772569444444444,6.8,0.6360555743815656,237,32,2865,1441,23.7,1786.2,0,1,1
33,0,7,7,8,1,1,0,0,0.4638888888888888,7.0,0.6499491697729584,217,40,93,561,21.7,1655.6,1,0,1
15,3,7,6,10,1,1,0,0,0.45833333333333326,7.2,0.6585903083700441,212,50,420,1185,21.2,1649.2,1,0,1
60,6,3,7,3,1,0,1,0,0.2534722222222223,6.8,0.5726025076245341,179,45,-5008,-2355,17.9,1413.2,1,0,0
19,3,6,4,5,2,1,1,0,0.46953124999999996,6.8,0.6110640460860725,196,56,2074,1795,19.6,1662.1,1,0,1
20,3,4,5,7,0,0,0,0,0.38498263888888884,6.6,0.5285496441884107,190,48,3,-1013,19.0,1564.7,0,1,0
21,3,5,5,7,2,1,1,0,0.4651909722222223,7.0,0.6867163673331075,249,47,837,660,24.9,1657.1,1,0,1
37,4,5,5,6,1,0,1,0,0.44027777777777777,7.2,0.6440189766180956,216,55,-510,747,21.6,1628.4,1,0,0
14,4,11,6,12,0,0,0,0,0.7176215277777778,7.4,0.7793120975940361,214,60,3549,2407,21.4,1947.9,0,1,1
56,2,6,6,7,1,1,0,0,0.47326388888888893,6.8,0.6626567265333786,199,68,-272,-359,19.9,1666.4,0,1,0
45,3,5,9,5,0,0,0,0,0.39427083333333335,7.0,0.5697221280921722,206,52,-2187,-2189,20.6,1575.4,1,0,0
18,7,8,2,11,1,0,1,1,0.6417534722222222,7.0,0.6575737038292105,242,40,4907,2556,24.2,1860.5,0,1,1
16,1,4,5,5,0,0,0,0,0.4052083333333334,7.0,0.6903592002710947,210,64,-63,-648,21.0,1588.0,1,0,0
15,2,8,4,13,1,1,0,0,0.5912326388888889,7.0,0.7050999661131819,230,47,2132,484,23.0,1802.3,0,1,0
15,2,6,5,8,1,1,0,0,0.5190972222222223,7.6,0.8048966452050154,222,69,976,964,22.2,1719.2,0,1,1
36,6,5,3,6,1,1,0,0,0.42395833333333344,7.2,0.7335648932565232,218,54,1342,1966,21.8,1609.6,1,0,1
14,3,2,8,2,0,0,0,0,0.2945312499999999,6.2,0.4507793968146391,208,44,-2304,-2532,20.8,1460.5,1,0,0
83,3,2,10,1,1,1,0,0,0.29748263888888893,6.6,0.4953405625211792,219,56,-4219,-3379,21.9,1463.9,0,1,0
46,6,7,6,9,0,0,0,0,0.5893229166666667,7.2,0.7613520840393088,243,46,2049,2340,24.3,1800.1,1,0,1
20,4,5,1,4,1,1,0,0,0.542795138888889,7.0,0.7152660115215183,236,67,4179,3823,23.6,1746.5,0,1,1
19,5,6,6,3,1,1,0,0,0.4918402777777777,7.0,0.7687224669603524,245,56,66,1073,24.5,1687.8,0,1,1
14,1,7,9,4,0,0,0,0,0.5368055555555555,6.8,0.6263978312436463,215,56,-510,-142,21.5,1739.6,0,1,0
15,2,3,4,1,1,1,0,0,0.22612847222222232,6.8,0.6056421552016266,208,35,-2591,-1567,20.8,1381.7,1,0,1
13,1,12,4,20,1,1,0,1,0.6611111111111112,7.4,0.7572009488309047,177,53,3772,3034,17.7,1882.8,1,0,1
17,2,6,6,7,0,0,0,0,0.4907986111111111,7.0,0.7355133852931209,233,51,-965,878,23.3,1686.6,1,0,1
14,2,5,1,7,2,1,1,0,0.5203125,7.4,0.7091663842765165,259,70,3468,2158,25.9,1720.6,0,1,1
13,4,3,14,4,0,0,0,0,0.2562500000000001,6.4,0.5039817011182651,196,45,-6153,-3916,19.6,1416.4,1,0,0
56,2,5,0,8,1,1,0,0,0.4422743055555556,7.0,0.7157743137919349,229,60,2216,2730,22.9,1630.7,0,1,1
19,6,11,6,14,0,0,0,0,0.6190972222222222,7.2,0.6962046763808879,206,28,2308,1767,20.6,1834.4,0,1,1
14,2,6,6,3,1,1,0,0,0.34053819444444455,7.0,0.6019993222636394,194,51,-1917,179,19.4,1513.5,1,0,0
13,4,7,4,8,1,1,0,0,0.5918402777777778,7.4,0.8532700779396815,244,84,1676,1759,24.4,1803.0,0,1,1
13,0,5,10,7,0,0,0,0,0.3798611111111112,6.8,0.6567265333785158,214,60,-2709,-1259,21.4,1558.8,1,0,0
40,6,8,6,12,1,1,0,0,0.5069444444444444,6.8,0.5600643849542529,216,46,1304,552,21.6,1705.2,0,1,1
14,1,5,8,5,0,0,0,0,0.4210069444444444,7.2,0.6967976956963741,222,60,-1824,-1409,22.2,1606.2,1,0,0
17,5,8,11,9,2,1,1,0,0.48854166666666665,6.8,0.5322771941714673,212,44,-229,45,21.2,1684.0,0,1,1
29,2,4,4,1,0,0,0,0,0.33958333333333335,7.0,0.6080989495086412,214,56,-1507,-1667,21.4,1512.4,0,1,0
17,3,5,1,4,0,0,0,0,0.46362847222222214,7.0,0.7653337851575738,235,61,1787,1135,23.5,1655.3,0,1,1
15,2,7,8,4,0,0,0,0,0.4414930555555556,6.8,0.6382582175533719,182,52,-815,-1397,18.2,1629.8,0,1,1
15,1,14,5,9,0,0,0,0,0.7530381944444444,7.8,0.9580650626906134,238,44,4767,5061,23.8,1988.7,0,1,1
15,4,6,4,10,1,1,0,0,0.5197916666666667,7.0,0.7089969501863777,262,64,1861,2532,26.2,1720.0,0,1,1
15,4,14,1,18,0,0,0,1,0.8577256944444445,7.0,0.6933242968485259,234,29,7655,4485,23.4,2109.3,0,1,1
12,6,9,4,11,0,0,0,0,0.5579861111111111,7.2,0.7511860386309727,224,54,2058,2051,22.4,1764.0,0,1,0
18,1,5,5,3,0,0,0,0,0.4170138888888888,6.8,0.6178414096916299,213,64,575,208,21.3,1601.6,0,1,0
15,0,2,4,1,0,0,0,0,0.2625868055555556,6.8,0.6185191460521858,212,58,-1765,-701,21.2,1423.7,1,0,1
